No,Nama,URL Asli,Likes,Done,Worker,Explanation
197,Daging Malbi Semur,https://resepkoki.id/resep/resep-daging-malbi-semur/,1677,No,,
198,Ceker Ayam Mercon,https://resepkoki.id/resep/resep-ceker-ayam-mercon/,1502,No,,
199,Ayam Bumbu Rujak Kuah,https://resepkoki.id/resep/resep-ayam-bumbu-rujak-kuah/,1685,No,,
200,Dendeng Ragi,https://resepkoki.id/resep/resep-dendeng-ragi/,1568,No,,
201,Kentang Daging Cincang,https://resepkoki.id/resep/resep-kentang-daging-cincang/,1378,No,,
202,Opor Ayam Kuning,https://resepkoki.id/resep/resep-opor-ayam-kuning/,1537,No,,
203,Semur Bola Bola Daging,https://resepkoki.id/resep/resep-semur-bola-bola-daging/,1550,No,,
204,Rendang Bola Bola Daging,https://resepkoki.id/resep/resep-rendang-bola-bola-daging/,1554,No,,
205,Oseng Mercon,https://resepkoki.id/resep/resep-oseng-mercon/,1549,No,,
206,Gulai Kikil (Tunjang),https://resepkoki.id/resep/resep-gulai-kikil-tunjang/,1436,No,,
207,Kari Ayam,https://resepkoki.id/resep/resep-kari-ayam/,1738,No,,
208,Sempol Ayam,https://resepkoki.id/resep/resep-sempol-ayam/,2406,No,,
209,Iga Bakar Madu,https://resepkoki.id/resep/resep-iga-bakar-madu/,1630,No,,
210,Serundeng Daging,https://resepkoki.id/resep/resep-serundeng-daging/,1122,No,,
211,Sate Daging Sapi,https://resepkoki.id/resep/resep-sate-daging-sapi/,1331,No,,
212,Ayam Asam Manis,https://resepkoki.id/resep/resep-ayam-asam-manis/,1429,No,,
213,Dendeng Batokok,https://resepkoki.id/resep/resep-dendeng-batokok/,1380,No,,
214,Tuna Bakar Kecap,https://resepkoki.id/resep/resep-tuna-bakar-kecap/,1350,No,,
215,Otak Otak Bandeng,https://resepkoki.id/resep/resep-otak-otak-bandeng/,1604,No,,
216,Rajungan Saus Padang,https://resepkoki.id/resep/resep-rajungan-saus-padang/,1582,No,,
217,Udang Saus Padang,https://resepkoki.id/resep/resep-udang-saus-padang/,1755,No,,
